,DW,WD,Country,Season,Year
0,3.32849037983068e-07,0.0004911187555440168,Ethiopia,DJF,2000
1,8.214316285746267e-05,0.017636581527500677,Ethiopia,MAM,2000
2,0.0003038803179055633,0.007736601939829722,Ethiopia,JJA,2000
3,0.00021901466699285875,0.0275329395729214,Ethiopia,SON,2000
4,0.0,0.00038177448061643135,Somalia,DJF,2000
5,6.884708029283353e-05,0.01696208860176012,Somalia,MAM,2000
6,7.091544751193152e-06,0.0038217516588305096,Somalia,JJA,2000
7,0.00012785561635667654,0.018971921353262082,Somalia,SON,2000
8,3.421337743057535e-05,0.0009068174227551544,Kenya,DJF,2000
9,0.00011796177522802719,0.0019373448931575728,Kenya,MAM,2000
10,3.094079350243336e-05,0.00519966480807039,Kenya,JJA,2000
11,3.160664391205533e-05,0.01898125595679339,Kenya,SON,2000
12,0.0,0.0004250593164723106,Ethiopia,DJF,2001
13,1.9095404592115578e-05,0.004090038124962962,Ethiopia,MAM,2001
14,5.267697818514641e-05,0.007363583088056153,Ethiopia,JJA,2001
15,9.802404168601351e-05,0.0009431277491250231,Ethiopia,SON,2001
16,0.0,0.0003917553175423017,Somalia,DJF,2001
17,0.0001551275414323502,0.0016812870680953766,Somalia,MAM,2001
18,5.909620625994294e-07,0.0011582856426948815,Somalia,JJA,2001
19,8.722859807511577e-05,0.0011109697131553274,Somalia,SON,2001
20,1.3837410427477143e-05,0.0026950004118276912,Kenya,DJF,2001
21,0.0001862893608792342,0.00016276146582009217,Kenya,MAM,2001
22,3.222999323170142e-06,0.0014777451896735101,Kenya,JJA,2001
23,6.5168337963000676e-06,0.001736736206713968,Kenya,SON,2001
24,1.0096420818819728e-06,0.009282481027142544,Ethiopia,DJF,2002
25,0.0002291448551053869,0.003917850252520265,Ethiopia,MAM,2002
26,0.00047277587921168906,0.006306586597659824,Ethiopia,JJA,2002
27,0.00012831330414247273,0.003300198211602119,Ethiopia,SON,2002
28,0.0,0.0036991729945571082,Somalia,DJF,2002
29,0.00033182519814957954,0.004070546687184869,Somalia,MAM,2002
30,2.3638482503977176e-06,0.010326471081862425,Somalia,JJA,2002
31,7.02010977659322e-05,0.008528089102220566,Somalia,SON,2002
32,0.00015550613623260029,0.025187711061691792,Kenya,DJF,2002
33,3.2552293164018434e-05,0.023311309504625,Kenya,MAM,2002
34,3.83536919457247e-05,0.006018628936087923,Kenya,JJA,2002
35,1.4662876041675154e-05,0.002793114965094209,Kenya,SON,2002
36,0.0,0.008382216837464453,Ethiopia,DJF,2003
37,5.596928932171806e-05,0.01509820964120393,Ethiopia,MAM,2003
38,0.00023309562846927283,0.016262370859095668,Ethiopia,JJA,2003
39,0.00028075816353871787,0.008080243246076957,Ethiopia,SON,2003
40,0.0,0.012476968895171471,Somalia,DJF,2003
41,8.480305598301813e-05,0.001564572060731989,Somalia,MAM,2003
42,0.00020063162025250625,0.027740645661511115,Somalia,JJA,2003
43,3.1665176013569424e-05,0.0002963382509949138,Somalia,SON,2003
44,0.00014002141503994728,0.003192488262910798,Kenya,DJF,2003
45,0.0004357495084926032,0.02488413317433203,Kenya,MAM,2003
46,6.155928707254973e-05,0.010893415412382763,Kenya,JJA,2003
47,9.221319821764597e-05,0.004188369080882053,Kenya,SON,2003
48,0.0,0.014797303257094264,Ethiopia,DJF,2004
49,0.0002140002238771573,0.009213532715695763,Ethiopia,MAM,2004
50,2.238771572868723e-05,0.00030256339345093464,Ethiopia,JJA,2004
51,0.00013979659595288855,0.012591179833342488,Ethiopia,SON,2004
52,5.974561511994232e-07,0.0034918324756850285,Somalia,DJF,2004
53,0.00010962346261219412,0.0029802216816889227,Somalia,MAM,2004
54,1.1819241251988588e-06,0.0024114206964369715,Somalia,JJA,2004
55,1.2247851099588172e-05,0.023689136395057125,Somalia,SON,2004
56,9.5797456805611e-05,0.017478148241676778,Kenya,DJF,2004
57,0.00011216037644632093,0.01413446353176266,Kenya,MAM,2004
58,2.4172494923776067e-05,0.0013526928159345087,Kenya,JJA,2004
59,0.0002417745338427325,0.0009856711116903853,Kenya,SON,2004
60,5.048210409409864e-06,0.0003385666447910882,Ethiopia,DJF,2005
61,0.00010914011417735021,0.031034970928892663,Ethiopia,MAM,2005
62,0.00029449723116633413,0.01524455287122454,Ethiopia,JJA,2005
63,0.0002454761655125126,0.0011420050493199066,Ethiopia,SON,2005
64,0.0,0.0001878734059454986,Somalia,DJF,2005
65,5.702783904084494e-05,0.02167826134233487,Somalia,MAM,2005
66,6.618775101113609e-05,0.0068669791674053696,Somalia,JJA,2005
67,3.61460971475651e-05,0.00011112684412309269,Somalia,SON,2005
68,8.664854624824972e-05,0.0003446174120747879,Kenya,DJF,2005
69,0.00044412930673284564,0.02172075933864054,Kenya,MAM,2005
70,8.315338253778966e-05,0.029607760982370192,Kenya,JJA,2005
71,0.00041609983789375933,0.0027132837510895334,Kenya,SON,2005
72,0.0,0.011515809312265467,Ethiopia,DJF,2006
73,0.0003707142339779679,0.010281393832842777,Ethiopia,MAM,2006
74,0.00044446200343717287,0.0041377766364432515,Ethiopia,JJA,2006
75,0.00024497689195553807,0.013490537933972736,Ethiopia,SON,2006
76,3.0204727643970836e-07,0.04113310015283592,Somalia,DJF,2006
77,0.0013600991870725866,0.002634213394036956,Somalia,MAM,2006
78,8.86443093899144e-07,0.010749304437652322,Somalia,JJA,2006
79,3.584736907196539e-05,0.014793014303697715,Somalia,SON,2006
80,1.6143645498723332e-05,0.03211860637509266,Kenya,DJF,2006
81,2.9651593773165308e-05,0.004750378702420473,Kenya,MAM,2006
82,0.0006884326554291424,0.009213265865214166,Kenya,JJA,2006
83,2.86740687037203e-05,0.021148103194063163,Kenya,SON,2006
84,0.0,0.0037853164386558295,Ethiopia,DJF,2007
85,0.0002355648618217016,0.0011753550757560795,Ethiopia,MAM,2007
86,0.0008133654662900262,0.05365594690160599,Ethiopia,JJA,2007
